CRN CTYPE CODE RSEAT STIME ETIME DAY SEM SUBJ 
 44029 Lec ENGL1001T 0 1840 2130 7 201509 ENGL 
44029 Lec ENGL1001T 0 1840 2130 2 201509 ENGL 
41997 Lec ENVS1000U 5 1410 1530 6 201509 ENVS 
41997 Lec ENVS1000U 5 1540 1700 4 201509 ENVS 
41997 Lec ENVS1000U 5 1410 1530 1 201509 ENVS 
41997 Lec ENVS1000U 5 1540 1700 9 201509 ENVS 
41378 Lec ENVS3020U 23 1840 2130 6 201509 ENVS 
41378 Lec ENVS3020U 23 1840 2130 1 201509 ENVS 
44028 Lec CHIN1001T 7 1110 1400 2 201509 CHIN 
44028 Lec CHIN1001T 7 1110 1400 7 201509 CHIN 
40136 Lec ECON2010U 0 1240 1400 1 201509 ECON 
40136 Lec ECON2010U 0 1240 1400 6 201509 ECON 
40137 Lec ECON2010U 10 1710 1830 6 201509 ECON 
40137 Lec ECON2010U 10 1710 1830 1 201509 ECON 
42748 Tut ECON2010U 20 1540 1700 5 201509 ECON 
42748 Tut ECON2010U 20 1540 1700 10 201509 ECON 
42749 Tut ECON2010U 0 1110 1230 9 201509 ECON 
42749 Tut ECON2010U 0 1110 1230 4 201509 ECON 
43843 Tut ECON2010U 0 1540 1700 3 201509 ECON 
43843 Tut ECON2010U 0 1540 1700 8 201509 ECON 
43844 Tut ECON2010U 0 1410 1530 5 201509 ECON 
43844 Tut ECON2010U 0 1410 1530 10 201509 ECON 
43845 Tut ECON2010U 0 0940 1100 9 201509 ECON 
43845 Tut ECON2010U 0 0940 1100 4 201509 ECON 
43846 Tut ECON2010U 0 1710 1830 3 201509 ECON 
43846 Tut ECON2010U 0 1710 1830 8 201509 ECON 
43559 Lec CDPS2000U 4 1110 1400 10 201509 CDPS 
43559 Lec CDPS2000U 4 1110 1400 5 201509 CDPS 
43560 Lec CDPS2100U 3 1110 1400 2 201509 CDPS 
43560 Lec CDPS2100U 3 1110 1400 7 201509 CDPS 
43561 Lec CDPS2200U 12 1410 1700 8 201509 CDPS 
43561 Lec CDPS2200U 12 1410 1700 3 201509 CDPS 
43975 Lec CDPS3201U 25 1410 1700 10 201509 CDPS 
43975 Lec CDPS3201U 25 1410 1700 5 201509 CDPS 
43564 Lec CDPS3300U 29 1110 1400 9 201509 CDPS 
43564 Lec CDPS3300U 29 1110 1400 4 201509 CDPS 
43851 Lec CDPS4099U 3 1410 1700 1 201509 CDPS 
43851 Lec CDPS4099U 3 1410 1700 6 201509 CDPS 
42414 Lec EDUC4700U 0 1210 1300 6 201509 EDUC 
42414 Lec EDUC4700U 0 1210 1300 1 201509 EDUC 
44067 Lec EDUC4700U 0 1810 1900 6 201509 EDUC 
44067 Lec EDUC4700U 0 1810 1900 1 201509 EDUC 
43161 Lec EDUC4703U 13 1210 1300 5 201509 EDUC 
43161 Lec EDUC4703U 13 1210 1300 10 201509 EDUC 
43162 Lec EDUC4703U 19 1810 1900 5 201509 EDUC 
43162 Lec EDUC4703U 19 1810 1900 10 201509 EDUC 
41851 Lec EDUC5001G 0 1810 2100 6 201509 EDUC 
41851 Lec EDUC5001G 0 1810 2100 1 201509 EDUC 
42479 Lec EDUC5001G 0 1810 2100 4 201509 EDUC 
42479 Lec EDUC5001G 0 1810 2100 9 201509 EDUC 
42520 Lec EDUC5002G 0 1810 2100 7 201509 EDUC 
42520 Lec EDUC5002G 0 1810 2100 2 201509 EDUC 
44019 Lec EDUC5004G 0 1810 2100 8 201509 EDUC 
44019 Lec EDUC5004G 0 1810 2100 3 201509 EDUC 
42535 Lec EDUC5102G 0 1810 2100 6 201509 EDUC 
42535 Lec EDUC5102G 0 1810 2100 1 201509 EDUC 
42367 Lec EDUC5105G 1 1810 2100 8 201509 EDUC 
42367 Lec EDUC5105G 1 1810 2100 3 201509 EDUC 
44076 Lec EDUC5199G 10 1810 2100 7 201509 EDUC 
44076 Lec EDUC5199G 10 1810 2100 2 201509 EDUC 
43766 Lec EDUC5304G 1 1810 2100 4 201509 EDUC 
43766 Lec EDUC5304G 1 1810 2100 9 201509 EDUC 
42799 Lec EDUC5404G 0 1810 2100 4 201509 EDUC 
